Reaction ID;Reaction class;
10376558;DA;
10378290;DA;
10376549;DA;
10376555;DA;
10376557;DA;
10376554;DA;
36067538;DA;
10376547;DA;
10378294;DA;
10376556;DA;
38125508;DA;
4811210;DA;
9414672;DA;
38054838;DA;
44153563;DA;
41436175;DA;
45848959;DA;
42525947;DA;
9582183;DA;
38564204;DA;
10378291;DA;
10378296;DA;
9993368;DA;
28859948;DA;
10381256;DA;
10376562;DA;
10381252;DA;
37517750;DA;
34054773;DA;
10376560;DA;
10378298;DA;
10378299;DA;
10376561;DA;
32248683;DA;
47238958;DA;
10378292;DA;
10378301;DA;
10378302;DA;
10376563;DA;
10378300;DA;
10026831;DA;
10378293;DA;
38564025;DA;
36067536;DA;
36067539;DA;
2674928;DA;
9424342;DA;
10026460;DA;
38125467;DA;
10381253;DA;
10378305;DA;
10376551;DA;
10378307;DA;
43521778;DA;
38564037;DA;
10388223;DA;
10381258;DA;
49865204;DA;
10381263;DA;
10388227;DA;
10378308;DA;
10376559;DA;
10027563;DA;
10381260;DA;
10381255;DA;
10381254;DA;
10381262;DA;
10381259;DA;
10381261;DA;
10378306;DA;
47238957;DA;
38564044;DA;
33365933;DA;
8553744;DA;
38125510;DA;
38125460;DA;
44153579;DA;
10376564;DA;
10388231;DA;
10388234;DA;
38564067;DA;
38564039;DA;
10388233;DA;
10388230;DA;
27972590;DA;
38564054;DA;
10378303;DA;
9241191;DA;
10388229;DA;
10048649;DA;
10381268;DA;
10381266;DA;
41301874;DA;
9241192;DA;
10381265;DA;
10541459;DA;
10378295;DA;
10388225;DA;
10027557;DA;
10388224;DA;
10388232;DA;
47238956;DA;
10381267;DA;
10388226;DA;
38125468;DA;
38125503;DA;
38125513;DA;
33365931;DA;
2215352;DA;
37517954;DA;
29574881;DA;
8933725;DA;
10026461;DA;
38125506;DA;
10388301;DA;
10102927;DA;
10388238;DA;
49865201;DA;
10494544;DA;
10388306;DA;
10378309;DA;
27972599;DA;
10388236;DA;
10388239;DA;
10381264;DA;
42527099;DA;
10381257;DA;
9523033;DA;
36067541;DA;
10388237;DA;
4829428;DA;
4829427;DA;
38125511;DA;
10384629;DA;
1721662;DA;
43521775;DA;
38125470;DA;
38125502;DA;
29053251;DA;
10388308;DA;
10386847;DA;
10388303;DA;
30261718;DA;
10381269;DA;
49865202;DA;
10388228;DA;
10388311;DA;
10388305;DA;
10388309;DA;
42527084;DA;
10388312;DA;
10388313;DA;
10388310;DA;
10388235;DA;
10069425;DA;
10388304;DA;
10384624;DA;
10386851;DA;
38125507;DA;
10445899;DA;
2127824;DA;
3252242;DA;
